,plantheight,plantwidth,phvalue,temp,humid,moist,growth,possible,light
0,105,40,4,28,96,39,2.625,1,8092
1,94,15,8,39,59,24,6.266666666666667,1,11271
2,117,25,5,28,44,10,4.68,1,8092
3,50,38,6,39,51,44,1.3157894736842106,0,11271
4,19,20,6,21,73,37,0.95,0,6069
5,57,23,8,26,44,17,2.4782608695652173,1,7514
6,30,20,4,26,76,21,1.5,0,7514
7,19,29,5,26,91,34,0.6551724137931034,0,7514
8,94,15,7,22,78,13,6.266666666666667,1,6358
9,47,26,10,26,92,41,1.8076923076923077,0,7514
10,96,14,7,35,88,42,6.857142857142857,1,10115
11,45,22,6,23,67,15,2.0454545454545454,1,6647
12,104,32,3,30,42,44,3.25,1,8670
13,66,39,6,28,64,24,1.6923076923076923,0,8092
14,46,18,4,38,85,29,2.5555555555555554,1,10982
15,26,26,5,39,97,31,1.0,0,11271
16,31,16,9,27,61,19,1.9375,0,7803
17,91,16,5,21,105,11,5.6875,1,6069
18,109,24,6,23,72,38,4.541666666666667,1,6647
19,107,20,4,28,70,20,5.35,1,8092
20,93,18,6,30,85,15,5.166666666666667,1,8670
21,61,21,3,29,62,16,2.9047619047619047,1,8381
22,15,21,6,22,42,28,0.7142857142857143,0,6358
23,19,36,6,28,49,31,0.5277777777777778,0,8092
24,118,36,9,26,51,22,3.2777777777777777,1,7514
25,104,17,5,31,80,12,6.117647058823529,1,8959
26,72,34,6,38,61,21,2.1176470588235294,1,10982
27,58,27,9,22,108,20,2.1481481481481484,1,6358
28,81,38,7,27,47,16,2.1315789473684212,1,7803
29,45,22,5,36,86,41,2.0454545454545454,1,10404
30,103,33,5,29,44,28,3.121212121212121,1,8381
31,101,37,7,18,81,24,2.72972972972973,1,5202
32,17,40,7,26,46,38,0.425,0,7514
33,115,26,3,40,91,14,4.423076923076923,1,11560
34,117,34,10,38,77,39,3.4411764705882355,1,10982
35,98,30,5,38,101,11,3.2666666666666666,1,10982
36,96,32,8,36,76,45,3.0,1,10404
37,119,34,4,39,91,11,3.5,1,11271
38,63,31,6,27,103,29,2.032258064516129,1,7803
39,119,14,6,31,41,33,8.5,1,8959
40,69,28,8,23,40,11,2.4642857142857144,1,6647
